datetime,day of week,total,Breads,Beverages,Desserts,Product Sold Category,Income Category
2020-02-15 14:03:00,Sat,32100,3,2,0,Bread-Heavy Sales Day,Medium
2020-02-13 12:23:00,Thur,14800,2,0,0,Bread-Heavy Sales Day,Low
2020-02-23 13:06:00,Sun,20300,4,0,0,Bread-Heavy Sales Day,Medium
2019-11-28 15:09:00,Thur,19300,3,0,0,Bread-Heavy Sales Day,Low
2020-01-23 15:53:00,Thur,14800,3,0,0,Bread-Heavy Sales Day,Low
2019-08-15 11:03:00,Thur,24100,4,1,0,Bread-Heavy Sales Day,Medium
2020-02-28 16:58:00,Fri,20600,4,0,0,Bread-Heavy Sales Day,Medium
2019-12-23 15:03:00,Mon,14000,3,0,0,Bread-Heavy Sales Day,Low
2020-04-19 14:04:00,Sun,24600,3,1,0,Bread-Heavy Sales Day,Medium
2020-02-20 11:23:00,Thur,27600,6,0,0,Bread-Heavy Sales Day,Medium
2020-01-03 13:44:00,Fri,17300,4,0,0,Bread-Heavy Sales Day,Low
2019-08-28 11:19:00,Wed,16300,4,0,0,Bread-Heavy Sales Day,Low
2020-04-12 13:33:00,Sun,18300,3,0,0,Bread-Heavy Sales Day,Low
2019-08-26 11:17:00,Mon,19900,4,0,0,Bread-Heavy Sales Day,Low
2020-03-22 14:31:00,Sun,19500,3,1,0,Bread-Heavy Sales Day,Low
2019-07-21 12:29:00,Sun,16100,3,0,0,Bread-Heavy Sales Day,Low
2019-11-09 11:36:00,Sat,19300,2,0,1,Bread-Heavy Sales Day,Low
2019-08-21 11:02:00,Wed,19900,4,0,0,Bread-Heavy Sales Day,Low
2020-02-29 11:03:00,Sat,20600,4,0,0,Bread-Heavy Sales Day,Medium
2020-01-24 11:50:00,Fri,15300,4,0,0,Bread-Heavy Sales Day,Low
2019-08-25 12:23:00,Sun,25300,3,2,0,Bread-Heavy Sales Day,Medium
2019-08-29 12:35:00,Thur,16100,2,0,0,Bread-Heavy Sales Day,Low
2020-02-06 12:36:00,Thur,14800,3,0,0,Bread-Heavy Sales Day,Low
2019-08-18 11:27:00,Sun,14100,3,0,0,Bread-Heavy Sales Day,Low
2020-02-16 12:03:00,Sun,14300,2,1,0,Bread-Heavy Sales Day,Low
2019-09-18 14:37:00,Wed,14300,1,0,0,Bread-Heavy Sales Day,Low
2019-11-17 11:07:00,Sun,22300,5,0,0,Bread-Heavy Sales Day,Medium
2020-01-27 13:29:00,Mon,20100,3,0,0,Bread-Heavy Sales Day,Medium
2020-02-06 14:58:00,Thur,20300,4,0,0,Bread-Heavy Sales Day,Medium
2020-01-31 11:21:00,Fri,19800,3,0,1,Bread-Heavy Sales Day,Low
2020-01-26 15:53:00,Sun,16800,3,0,0,Bread-Heavy Sales Day,Low
2020-04-24 14:32:00,Fri,16600,2,1,0,Bread-Heavy Sales Day,Low
2019-12-11 15:05:00,Wed,14500,3,1,0,Bread-Heavy Sales Day,Low
2020-03-28 13:36:00,Sat,18000,2,0,0,Bread-Heavy Sales Day,Low
2019-08-25 12:05:00,Sun,14100,3,0,0,Bread-Heavy Sales Day,Low
2020-01-13 11:52:00,Mon,20300,2,1,0,Bread-Heavy Sales Day,Medium
2019-08-11 11:40:00,Sun,38900,6,0,0,Bread-Heavy Sales Day,Medium
2019-08-05 12:14:00,Mon,26600,5,0,0,Bread-Heavy Sales Day,Medium
2019-09-06 13:46:00,Fri,19800,3,0,0,Bread-Heavy Sales Day,Low
2020-02-23 11:47:00,Sun,23500,3,0,0,Bread-Heavy Sales Day,Medium
2020-02-22 13:10:00,Sat,22000,3,0,0,Bread-Heavy Sales Day,Medium
2019-11-24 11:29:00,Sun,19800,2,1,0,Bread-Heavy Sales Day,Low
2020-04-05 13:34:00,Sun,22300,3,1,0,Bread-Heavy Sales Day,Medium
2020-04-27 11:36:00,Mon,18800,5,0,0,Bread-Heavy Sales Day,Low
2019-09-15 14:54:00,Sun,15100,2,0,1,Bread-Heavy Sales Day,Low
2020-02-23 13:09:00,Sun,21800,4,0,0,Bread-Heavy Sales Day,Medium
2019-12-06 11:38:00,Fri,13800,2,0,0,Bread-Heavy Sales Day,Low
2019-08-25 12:43:00,Sun,17400,3,0,0,Bread-Heavy Sales Day,Low
2020-03-16 11:56:00,Mon,22600,5,0,0,Bread-Heavy Sales Day,Medium
2019-09-15 13:38:00,Sun,25300,4,0,0,Bread-Heavy Sales Day,Medium
2020-03-26 11:32:00,Thur,43200,8,0,0,Bread-Heavy Sales Day,Medium
2019-12-28 12:35:00,Sat,20900,4,0,0,Bread-Heavy Sales Day,Medium
2020-03-14 13:49:00,Sat,15800,3,1,0,Bread-Heavy Sales Day,Low
2019-12-24 11:17:00,Tues,21400,5,0,0,Bread-Heavy Sales Day,Medium
2019-08-03 15:53:00,Sat,16400,3,0,0,Bread-Heavy Sales Day,Low
2019-10-17 15:41:00,Thur,18600,4,0,0,Bread-Heavy Sales Day,Low
2020-01-24 11:37:00,Fri,23800,4,0,1,Bread-Heavy Sales Day,Medium
2020-01-11 14:19:00,Sat,18300,4,0,0,Bread-Heavy Sales Day,Low
2019-11-07 13:43:00,Thur,27900,5,0,1,Bread-Heavy Sales Day,Medium
2019-12-05 13:00:00,Thur,25000,4,0,1,Bread-Heavy Sales Day,Medium
2020-02-09 11:03:00,Sun,19300,2,1,0,Bread-Heavy Sales Day,Low
2020-01-15 13:01:00,Wed,18300,3,0,0,Bread-Heavy Sales Day,Low
2019-08-30 14:30:00,Fri,21200,4,0,0,Bread-Heavy Sales Day,Medium
2019-11-03 15:30:00,Sun,14800,2,1,0,Bread-Heavy Sales Day,Low
2019-08-28 13:42:00,Wed,14800,2,0,0,Bread-Heavy Sales Day,Low
2019-09-15 11:07:00,Sun,32200,6,0,0,Bread-Heavy Sales Day,Medium
2019-09-18 12:42:00,Wed,17500,1,0,0,Bread-Heavy Sales Day,Low
2020-04-10 17:14:00,Fri,15500,2,1,0,Bread-Heavy Sales Day,Low
2020-01-18 14:11:00,Sat,34700,7,0,0,Bread-Heavy Sales Day,Medium
2020-02-26 14:40:00,Wed,17100,2,0,0,Bread-Heavy Sales Day,Low
2020-04-24 12:00:00,Fri,19500,2,1,0,Bread-Heavy Sales Day,Low
2019-10-20 12:55:00,Sun,35200,6,0,0,Bread-Heavy Sales Day,Medium
2019-09-22 11:18:00,Sun,30900,7,0,1,Bread-Heavy Sales Day,Medium
2019-10-24 14:25:00,Thur,21000,2,1,0,Bread-Heavy Sales Day,Medium
2019-12-05 11:05:00,Thur,57700,9,0,0,Bread-Heavy Sales Day,High
2020-02-23 14:05:00,Sun,22300,5,1,0,Bread-Heavy Sales Day,Medium
2019-10-21 13:28:00,Mon,14800,3,0,0,Bread-Heavy Sales Day,Low
2020-03-15 14:05:00,Sun,15000,1,0,0,Bread-Heavy Sales Day,Low
2020-01-22 13:44:00,Wed,18300,4,0,0,Bread-Heavy Sales Day,Low
2019-11-15 14:39:00,Fri,17300,4,0,0,Bread-Heavy Sales Day,Low
2019-08-23 11:28:00,Fri,42200,10,0,0,Bread-Heavy Sales Day,Medium
2020-03-14 11:45:00,Sat,18000,3,0,0,Bread-Heavy Sales Day,Low
2019-11-10 13:10:00,Sun,19800,3,0,1,Bread-Heavy Sales Day,Low
2019-11-29 16:12:00,Fri,28100,3,2,0,Bread-Heavy Sales Day,Medium
2019-08-01 12:38:00,Thur,14500,2,0,0,Bread-Heavy Sales Day,Low
2020-01-26 12:30:00,Sun,14800,3,0,0,Bread-Heavy Sales Day,Low
2020-01-23 11:08:00,Thur,77100,16,0,0,Bread-Heavy Sales Day,High
2019-11-20 12:46:00,Wed,17300,3,1,0,Bread-Heavy Sales Day,Low
2019-07-17 14:16:00,Wed,23400,4,0,1,Bread-Heavy Sales Day,Medium
2019-11-10 11:27:00,Sun,17000,4,0,0,Bread-Heavy Sales Day,Low
2020-04-08 12:01:00,Wed,30300,5,0,0,Bread-Heavy Sales Day,Medium
2019-09-26 14:45:00,Thur,14800,2,1,0,Bread-Heavy Sales Day,Low
2019-09-21 11:06:00,Sat,17800,2,0,0,Bread-Heavy Sales Day,Low
2019-08-25 12:02:00,Sun,15800,3,0,0,Bread-Heavy Sales Day,Low
2020-04-23 15:16:00,Thur,15000,3,0,0,Bread-Heavy Sales Day,Low
2019-12-18 12:39:00,Wed,14000,2,1,0,Bread-Heavy Sales Day,Low
2020-02-28 11:54:00,Fri,14800,2,1,0,Bread-Heavy Sales Day,Low
2020-03-21 15:02:00,Sat,16400,3,0,0,Bread-Heavy Sales Day,Low
2019-11-18 13:55:00,Mon,14000,2,0,0,Bread-Heavy Sales Day,Low
2019-08-10 11:38:00,Sat,25300,5,0,0,Bread-Heavy Sales Day,Medium
2020-03-05 12:00:00,Thur,20500,4,2,0,Bread-Heavy Sales Day,Medium
2019-11-10 11:55:00,Sun,29100,3,2,0,Bread-Heavy Sales Day,Medium
2019-08-29 12:25:00,Thur,18300,3,0,0,Bread-Heavy Sales Day,Low
2020-03-06 12:22:00,Fri,14800,3,0,0,Bread-Heavy Sales Day,Low
2019-11-04 13:13:00,Mon,26600,4,0,0,Bread-Heavy Sales Day,Medium
2019-10-16 14:31:00,Wed,20300,2,1,0,Bread-Heavy Sales Day,Medium
2020-03-21 12:34:00,Sat,14800,3,0,0,Bread-Heavy Sales Day,Low
2019-12-23 12:06:00,Mon,23800,2,0,0,Bread-Heavy Sales Day,Medium
2020-03-19 11:06:00,Thur,16300,2,1,0,Bread-Heavy Sales Day,Low
2020-03-19 14:47:00,Thur,15100,2,0,1,Bread-Heavy Sales Day,Low
2020-01-31 16:45:00,Fri,15000,2,0,1,Bread-Heavy Sales Day,Low
2019-08-03 11:03:00,Sat,16000,2,0,0,Bread-Heavy Sales Day,Low
2019-08-28 14:05:00,Wed,19300,3,1,0,Bread-Heavy Sales Day,Low
2019-12-25 11:55:00,Wed,15300,4,0,0,Bread-Heavy Sales Day,Low
2019-08-16 11:54:00,Fri,15100,1,0,0,Bread-Heavy Sales Day,Low
2019-08-14 11:04:00,Wed,18300,3,0,0,Bread-Heavy Sales Day,Low
2019-09-09 13:23:00,Mon,21000,3,1,0,Bread-Heavy Sales Day,Medium
2020-02-29 11:14:00,Sat,16100,3,0,0,Bread-Heavy Sales Day,Low
2019-11-17 11:57:00,Sun,16300,4,0,0,Bread-Heavy Sales Day,Low
2020-02-05 13:12:00,Wed,21300,2,1,0,Bread-Heavy Sales Day,Medium
2020-04-25 13:30:00,Sat,28600,6,0,0,Bread-Heavy Sales Day,Medium
2019-12-09 17:01:00,Mon,17100,3,0,0,Bread-Heavy Sales Day,Low
2020-04-24 14:03:00,Fri,14000,2,1,0,Bread-Heavy Sales Day,Low
2019-11-10 13:35:00,Sun,24600,4,0,0,Bread-Heavy Sales Day,Medium
2019-12-11 12:09:00,Wed,21500,4,0,0,Bread-Heavy Sales Day,Medium
2019-11-30 13:01:00,Sat,38200,7,0,0,Bread-Heavy Sales Day,Medium
2020-01-02 14:06:00,Thur,17600,4,0,0,Bread-Heavy Sales Day,Low
2020-03-22 11:34:00,Sun,15100,3,0,0,Bread-Heavy Sales Day,Low
2019-11-30 11:56:00,Sat,31400,7,0,0,Bread-Heavy Sales Day,Medium
2020-04-30 11:43:00,Thur,18300,3,0,1,Bread-Heavy Sales Day,Low
2020-01-12 12:42:00,Sun,18000,3,1,0,Bread-Heavy Sales Day,Low
2020-03-06 13:24:00,Fri,21100,3,1,0,Bread-Heavy Sales Day,Medium
2020-02-29 11:35:00,Sat,16300,2,1,0,Bread-Heavy Sales Day,Low
2020-04-15 13:19:00,Wed,34000,7,0,0,Bread-Heavy Sales Day,Medium
2020-04-04 15:24:00,Sat,15100,3,0,0,Bread-Heavy Sales Day,Low
2019-09-04 12:06:00,Wed,18600,3,0,1,Bread-Heavy Sales Day,Low
2020-01-03 14:05:00,Fri,17000,3,0,0,Bread-Heavy Sales Day,Low
2019-08-19 15:27:00,Mon,21600,4,0,0,Bread-Heavy Sales Day,Medium
2020-03-02 13:41:00,Mon,20300,6,0,0,Bread-Heavy Sales Day,Medium
2019-09-11 15:30:00,Wed,15100,2,0,1,Bread-Heavy Sales Day,Low
2019-07-26 11:55:00,Fri,20800,4,0,0,Bread-Heavy Sales Day,Medium
2019-12-19 11:29:00,Thur,24800,3,0,0,Bread-Heavy Sales Day,Medium
2019-09-30 16:04:00,Mon,16000,4,0,0,Bread-Heavy Sales Day,Low
2019-10-21 12:48:00,Mon,15800,3,1,0,Bread-Heavy Sales Day,Low
2020-04-26 13:55:00,Sun,15100,3,0,0,Bread-Heavy Sales Day,Low
2020-01-20 12:46:00,Mon,14800,3,0,0,Bread-Heavy Sales Day,Low
2019-07-26 13:19:00,Fri,25900,6,0,0,Bread-Heavy Sales Day,Medium
2020-04-01 12:32:00,Wed,23100,3,0,0,Bread-Heavy Sales Day,Medium
2019-10-17 13:05:00,Thur,18300,2,0,0,Bread-Heavy Sales Day,Low
2019-08-30 15:05:00,Fri,28800,3,1,0,Bread-Heavy Sales Day,Medium
2020-02-02 15:37:00,Sun,15800,3,0,0,Bread-Heavy Sales Day,Low
2020-02-13 14:10:00,Thur,16100,2,1,0,Bread-Heavy Sales Day,Low
2019-11-25 12:54:00,Mon,26300,5,0,0,Bread-Heavy Sales Day,Medium
2020-02-09 11:52:00,Sun,34300,3,2,0,Bread-Heavy Sales Day,Medium
2019-08-17 11:01:00,Sat,20100,4,0,0,Bread-Heavy Sales Day,Medium
2019-09-22 11:09:00,Sun,14100,2,0,1,Bread-Heavy Sales Day,Low
2019-12-04 11:47:00,Wed,17500,2,1,0,Bread-Heavy Sales Day,Low
2019-08-04 11:41:00,Sun,24300,5,0,0,Bread-Heavy Sales Day,Medium
2019-09-22 13:01:00,Sun,20000,4,0,0,Bread-Heavy Sales Day,Medium
2020-02-12 11:41:00,Wed,19600,4,0,0,Bread-Heavy Sales Day,Low
2020-02-01 14:06:00,Sat,15800,2,0,0,Bread-Heavy Sales Day,Low
2019-08-01 14:17:00,Thur,14800,2,0,0,Bread-Heavy Sales Day,Low
2020-04-15 13:52:00,Wed,17300,4,0,0,Bread-Heavy Sales Day,Low
2019-09-06 11:30:00,Fri,14800,2,0,0,Bread-Heavy Sales Day,Low
2019-11-09 11:36:00,Sat,27300,5,0,0,Bread-Heavy Sales Day,Medium
2020-01-19 16:21:00,Sun,19800,2,1,0,Bread-Heavy Sales Day,Low
2020-01-09 13:59:00,Thur,19800,3,1,0,Bread-Heavy Sales Day,Low
2019-08-18 14:39:00,Sun,23000,3,1,0,Bread-Heavy Sales Day,Medium
2019-12-08 11:03:00,Sun,17100,3,0,0,Bread-Heavy Sales Day,Low
2019-07-29 12:22:00,Mon,27900,5,0,0,Bread-Heavy Sales Day,Medium
2020-04-30 13:10:00,Thur,14800,3,0,0,Bread-Heavy Sales Day,Low
2019-10-19 11:09:00,Sat,15000,3,0,0,Bread-Heavy Sales Day,Low
2019-08-07 12:28:00,Wed,16100,3,0,0,Bread-Heavy Sales Day,Low
2020-01-09 15:22:00,Thur,23300,5,0,0,Bread-Heavy Sales Day,Medium
2019-09-15 13:38:00,Sun,16300,4,0,0,Bread-Heavy Sales Day,Low
2019-07-20 11:19:00,Sat,15800,2,0,0,Bread-Heavy Sales Day,Low
2020-02-02 11:05:00,Sun,15000,3,0,0,Bread-Heavy Sales Day,Low
2020-04-08 16:38:00,Wed,25000,4,2,0,Bread-Heavy Sales Day,Medium
2020-04-29 12:24:00,Wed,23500,5,0,0,Bread-Heavy Sales Day,Medium
2019-10-21 17:06:00,Mon,16400,3,0,0,Bread-Heavy Sales Day,Low
2019-08-19 15:30:00,Mon,18800,3,0,1,Bread-Heavy Sales Day,Low
2019-11-10 11:10:00,Sun,21100,2,1,0,Bread-Heavy Sales Day,Medium
2020-03-29 11:09:00,Sun,21800,3,0,0,Bread-Heavy Sales Day,Medium
2020-04-27 11:56:00,Mon,22300,3,1,0,Bread-Heavy Sales Day,Medium
2019-09-29 15:05:00,Sun,19600,3,0,1,Bread-Heavy Sales Day,Low
2019-09-14 11:15:00,Sat,19500,5,0,0,Bread-Heavy Sales Day,Low
2019-11-16 14:15:00,Sat,16600,4,0,0,Bread-Heavy Sales Day,Low
2020-03-06 12:24:00,Fri,25600,5,0,0,Bread-Heavy Sales Day,Medium
2019-12-23 14:42:00,Mon,19500,4,0,0,Bread-Heavy Sales Day,Low
2020-03-14 13:52:00,Sat,21800,4,0,0,Bread-Heavy Sales Day,Medium
2019-08-24 11:06:00,Sat,16000,2,0,0,Bread-Heavy Sales Day,Low
2019-09-07 15:22:00,Sat,26300,6,0,1,Bread-Heavy Sales Day,Medium
2019-07-11 15:35:00,Thur,23800,4,2,0,Bread-Heavy Sales Day,Medium
2019-10-20 11:25:00,Sun,19800,4,0,0,Bread-Heavy Sales Day,Low
2020-04-22 12:18:00,Wed,18300,3,0,0,Bread-Heavy Sales Day,Low
2019-12-06 11:23:00,Fri,14800,2,1,0,Bread-Heavy Sales Day,Low
2020-03-05 11:39:00,Thur,15500,1,0,0,Bread-Heavy Sales Day,Low
2019-12-05 12:32:00,Thur,16000,4,0,0,Bread-Heavy Sales Day,Low
2020-03-01 11:06:00,Sun,34100,5,1,0,Bread-Heavy Sales Day,Medium
2019-11-17 13:18:00,Sun,23300,3,1,0,Bread-Heavy Sales Day,Medium
2020-04-05 16:23:00,Sun,16400,3,0,0,Bread-Heavy Sales Day,Low
2019-07-20 12:13:00,Sat,26300,3,1,1,Bread-Heavy Sales Day,Medium
2019-08-10 11:01:00,Sat,19600,3,0,0,Bread-Heavy Sales Day,Low
2020-01-06 12:30:00,Mon,30800,7,0,0,Bread-Heavy Sales Day,Medium
2019-08-15 11:23:00,Thur,22100,4,0,0,Bread-Heavy Sales Day,Medium
2019-07-29 13:36:00,Mon,28000,2,1,0,Bread-Heavy Sales Day,Medium
2019-07-27 12:26:00,Sat,17000,4,0,0,Bread-Heavy Sales Day,Low
2020-04-18 11:39:00,Sat,20800,3,0,1,Bread-Heavy Sales Day,Medium
2020-01-23 12:07:00,Thur,17800,4,0,0,Bread-Heavy Sales Day,Low
2019-10-27 11:33:00,Sun,17800,2,1,0,Bread-Heavy Sales Day,Low
2019-12-11 12:02:00,Wed,14000,2,1,0,Bread-Heavy Sales Day,Low
2019-09-19 16:33:00,Thur,16000,2,0,0,Bread-Heavy Sales Day,Low
2020-03-05 11:36:00,Thur,37100,7,1,0,Bread-Heavy Sales Day,Medium
2020-04-04 14:07:00,Sat,19600,4,0,0,Bread-Heavy Sales Day,Low
2020-03-05 12:11:00,Thur,17800,2,1,0,Bread-Heavy Sales Day,Low
2020-03-06 14:00:00,Fri,15800,3,0,0,Bread-Heavy Sales Day,Low
2019-09-07 11:40:00,Sat,14800,3,0,0,Bread-Heavy Sales Day,Low
2020-04-02 16:21:00,Thur,29500,5,0,1,Bread-Heavy Sales Day,Medium
2020-04-18 14:35:00,Sat,17800,3,0,0,Bread-Heavy Sales Day,Low
2019-12-21 11:52:00,Sat,14800,2,0,0,Bread-Heavy Sales Day,Low
2019-12-12 11:48:00,Thur,22300,4,0,0,Bread-Heavy Sales Day,Medium
2020-01-05 16:54:00,Sun,15300,2,1,0,Bread-Heavy Sales Day,Low
2019-12-23 13:37:00,Mon,27300,3,2,0,Bread-Heavy Sales Day,Medium
2020-01-05 13:59:00,Sun,14500,3,0,0,Bread-Heavy Sales Day,Low
2019-10-07 16:12:00,Mon,17300,3,1,0,Bread-Heavy Sales Day,Low
2020-02-08 14:42:00,Sat,19800,4,0,0,Bread-Heavy Sales Day,Low
2019-09-12 12:26:00,Thur,16400,3,0,0,Bread-Heavy Sales Day,Low
2020-03-23 13:58:00,Mon,24200,3,0,1,Bread-Heavy Sales Day,Medium
2020-03-28 13:05:00,Sat,22600,5,0,0,Bread-Heavy Sales Day,Medium
2020-04-02 15:49:00,Thur,16100,2,1,0,Bread-Heavy Sales Day,Low
2020-03-26 14:44:00,Thur,31100,4,0,1,Bread-Heavy Sales Day,Medium
2020-02-02 12:18:00,Sun,16000,4,0,0,Bread-Heavy Sales Day,Low
2019-08-25 11:04:00,Sun,15300,2,1,0,Bread-Heavy Sales Day,Low
2019-08-10 13:09:00,Sat,30200,6,0,0,Bread-Heavy Sales Day,Medium
2020-02-06 15:55:00,Thur,15300,3,0,0,Bread-Heavy Sales Day,Low
2020-03-27 15:11:00,Fri,15100,2,0,0,Bread-Heavy Sales Day,Low
2019-10-02 14:16:00,Wed,17000,3,1,0,Bread-Heavy Sales Day,Low
2020-01-29 14:07:00,Wed,15800,2,1,0,Bread-Heavy Sales Day,Low
2019-12-01 13:15:00,Sun,15800,2,1,0,Bread-Heavy Sales Day,Low
2019-10-19 11:45:00,Sat,18000,2,1,0,Bread-Heavy Sales Day,Low
2020-03-25 14:57:00,Wed,14500,3,0,0,Bread-Heavy Sales Day,Low
2020-02-23 13:35:00,Sun,18500,2,1,0,Bread-Heavy Sales Day,Low
2019-10-26 12:47:00,Sat,20600,4,0,0,Bread-Heavy Sales Day,Medium
2019-09-19 13:50:00,Thur,20900,3,0,0,Bread-Heavy Sales Day,Medium
2020-03-01 13:32:00,Sun,24800,5,0,0,Bread-Heavy Sales Day,Medium
2019-09-30 12:35:00,Mon,18600,4,0,0,Bread-Heavy Sales Day,Low
2019-12-20 14:29:00,Fri,19300,4,0,0,Bread-Heavy Sales Day,Low
2019-09-07 12:00:00,Sat,15300,2,0,0,Bread-Heavy Sales Day,Low
2019-09-20 14:58:00,Fri,18300,3,1,0,Bread-Heavy Sales Day,Low
2019-07-13 13:19:00,Sat,14800,2,1,0,Bread-Heavy Sales Day,Low
2019-12-02 13:06:00,Mon,20600,3,0,1,Bread-Heavy Sales Day,Medium
2019-10-06 12:31:00,Sun,16300,3,0,0,Bread-Heavy Sales Day,Low
2020-03-21 11:04:00,Sat,27800,3,2,0,Bread-Heavy Sales Day,Medium
2020-01-13 15:52:00,Mon,14800,1,0,0,Bread-Heavy Sales Day,Low
2019-08-09 11:34:00,Fri,17000,3,0,0,Bread-Heavy Sales Day,Low
2019-08-02 11:19:00,Fri,16400,3,0,0,Bread-Heavy Sales Day,Low
2019-08-25 13:13:00,Sun,15600,2,0,0,Bread-Heavy Sales Day,Low
2019-08-22 13:07:00,Thur,26600,4,0,0,Bread-Heavy Sales Day,Medium
2019-11-07 15:21:00,Thur,16800,3,0,0,Bread-Heavy Sales Day,Low
2020-03-19 11:07:00,Thur,14000,4,0,0,Bread-Heavy Sales Day,Low
2019-12-19 13:04:00,Thur,16400,3,0,0,Bread-Heavy Sales Day,Low
2020-01-05 14:54:00,Sun,14300,2,1,0,Bread-Heavy Sales Day,Low
2020-01-15 12:19:00,Wed,16000,2,0,1,Bread-Heavy Sales Day,Low
2020-03-29 12:15:00,Sun,26900,6,0,0,Bread-Heavy Sales Day,Medium
2019-12-21 14:18:00,Sat,15800,2,1,0,Bread-Heavy Sales Day,Low
2020-03-26 15:10:00,Thur,26900,3,0,0,Bread-Heavy Sales Day,Medium
2019-11-15 13:09:00,Fri,16100,2,0,0,Bread-Heavy Sales Day,Low
2020-03-23 12:37:00,Mon,34100,3,2,1,Bread-Heavy Sales Day,Medium
2020-03-07 11:16:00,Sat,14800,2,0,0,Bread-Heavy Sales Day,Low
2019-10-21 11:36:00,Mon,20800,4,1,0,Bread-Heavy Sales Day,Medium
2020-04-09 12:45:00,Thur,14500,3,0,0,Bread-Heavy Sales Day,Low
2020-03-30 13:38:00,Mon,14500,3,0,0,Bread-Heavy Sales Day,Low
2019-08-08 12:13:00,Thur,15100,2,0,0,Bread-Heavy Sales Day,Low
2019-12-08 13:02:00,Sun,25400,3,0,0,Bread-Heavy Sales Day,Medium
2019-09-19 16:27:00,Thur,34600,6,0,1,Bread-Heavy Sales Day,Medium
2020-04-15 13:49:00,Wed,14300,1,0,0,Bread-Heavy Sales Day,Low
2019-09-05 13:30:00,Thur,15600,2,1,0,Bread-Heavy Sales Day,Low
2019-08-02 12:51:00,Fri,15800,3,0,0,Bread-Heavy Sales Day,Low
2020-01-12 13:23:00,Sun,18300,4,0,0,Bread-Heavy Sales Day,Low
2020-02-05 11:23:00,Wed,19800,4,0,0,Bread-Heavy Sales Day,Low
2019-10-28 11:40:00,Mon,15800,2,0,0,Bread-Heavy Sales Day,Low
2020-03-11 13:17:00,Wed,25300,5,0,0,Bread-Heavy Sales Day,Medium
2019-12-06 12:26:00,Fri,16300,4,0,0,Bread-Heavy Sales Day,Low
2020-03-29 12:59:00,Sun,24300,4,0,1,Bread-Heavy Sales Day,Medium
2020-02-01 13:42:00,Sat,19300,3,1,0,Bread-Heavy Sales Day,Low
2019-10-13 14:48:00,Sun,21300,5,1,0,Bread-Heavy Sales Day,Medium
2019-07-20 11:40:00,Sat,22800,3,0,2,Bread-Heavy Sales Day,Medium
2019-11-16 11:07:00,Sat,23800,5,0,0,Bread-Heavy Sales Day,Medium
2020-03-08 11:09:00,Sun,14800,3,0,0,Bread-Heavy Sales Day,Low
2020-04-01 12:45:00,Wed,18300,3,0,0,Bread-Heavy Sales Day,Low
2019-12-06 12:43:00,Fri,27500,6,0,0,Bread-Heavy Sales Day,Medium
